Time,MarketID,Side,BTC_Price,Net,Fluc,Reason,Multiplier,Prob,Amount
2026-03-07 01:16:26,1508627,NO,68263.88,-136.0,142.83000000000175,Condition_2_15M_BREAK_DOWN (Cur:68263.88 < Min:68333.14 - 68.26),1.0,0.6900,2.00
2026-03-07 01:32:45,1508645,NO,68107.63,-132.31999999999243,140.9499999999971,Condition_2_15M_BREAK_DOWN (Cur:68107.63 < Min:68190.65 - 68.11),1.0,0.9900,2.00
2026-03-07 03:47:46,1509755,NO,68053.51,-82.54000000000815,93.88999999999942,Condition_2_15M_BREAK_DOWN (Cur:68053.51 < Min:68124.88 - 68.05),1.0,0.6800,2.00
2026-03-07 04:26:41,1510098,NO,67885.98,-116.02000000000407,122.25999999999476,Condition_2_15M_BREAK_DOWN (Cur:67885.98 < Min:67964.01 - 67.89),1.0,0.9000,2.00
2026-03-07 07:42:58,1511494,NO,68182.09,-163.7100000000064,168.3000000000029,Condition_1_15M_FLUC (163.71 > 0.8*Max(195.23) & > 95.0),1.0,0.9900,2.00
2026-03-07 07:56:49,1511509,NO,68093.34,-139.24000000000524,139.25,Condition_2_15M_BREAK_DOWN (Cur:68093.34 < Min:68164.34 - 68.09),1.0,0.9900,2.00
2026-03-07 08:10:40,1511661,YES,68257.51,149.27999999999884,149.93000000000757,Condition_1_15M_FLUC (149.28 > 0.8*Max(181.46) & > 95.0),1.0,0.9900,2.00
