Time,MarketID,Side,BTC_Price,Net,Fluc,Reason,Multiplier,Prob,Amount
2026-03-06 00:06:37,1499759,NO,71094.99,-578.2999999999884,623.2799999999988,Condition_2_15M_BREAK_DOWN (Cur:71094.99 < Min:71168.90 - 71.09),1.0,0.9700,2.00
2026-03-06 01:21:46,1500339,NO,70910.0,-267.38000000000466,295.1100000000006,Condition_2_15M_BREAK_DOWN (Cur:70910.00 < Min:70983.99 - 70.91),1.0,0.9000,2.00
2026-03-06 01:31:32,1500383,NO,70791.8,-142.8799999999901,196.91999999999825,Condition_2_15M_BREAK_DOWN (Cur:70791.80 < Min:70882.27 - 70.79),1.0,0.7500,2.00
2026-03-06 01:50:47,1500411,NO,70650.0,-174.4600000000064,179.0300000000134,Condition_2_15M_BREAK_DOWN (Cur:70650.00 < Min:70722.65 - 70.65),1.0,0.8400,2.00
2026-03-06 03:02:42,1500906,YES,71232.59,236.5899999999965,252.8399999999965,Condition_2_15M_BREAK_UP (Cur:71232.59 > Max:71090.70 + 106.85),1.0,0.8300,2.00
2026-03-06 04:22:30,1501516,YES,71286.48,196.47000000000116,197.79000000000815,Condition_2_15M_BREAK_UP (Cur:71286.48 > Max:71164.04 + 106.93),1.0,0.8800,2.00
2026-03-06 05:17:37,1502100,YES,71520.83,205.86000000000058,205.86000000000058,Condition_2_15M_BREAK_UP (Cur:71520.83 > Max:71385.21 + 107.28),1.0,0.8500,2.00
2026-03-06 05:36:47,1502149,NO,71262.66,-265.5399999999936,268.0500000000029,Condition_1_15M_FLUC (265.54 > 0.8*Max(327.08) & > 95.0),1.0,0.9500,2.00
2026-03-06 05:54:37,1502177,NO,71032.0,-172.47999999999593,173.7899999999936,Condition_2_15M_BREAK_DOWN (Cur:71032.00 < Min:71106.40 - 71.03),1.0,0.9200,2.00
2026-03-06 07:31:23,1503225,NO,71078.42,-136.25999999999476,156.5,Condition_2_15M_BREAK_DOWN (Cur:71078.42 < Min:71153.34 - 71.08),1.0,0.8200,2.00
2026-03-06 09:13:32,1503671,NO,70805.14,-182.27999999999884,187.41999999999825,Condition_1_15M_FLUC (182.28 > 0.8*Max(221.16) & > 95.0),1.0,0.9980,2.00
2026-03-06 09:26:01,1503844,NO,70690.0,-114.00999999999476,179.40999999998894,Condition_2_15M_BREAK_DOWN (Cur:70690.00 < Min:70764.00 - 70.69),1.0,0.8800,2.00
2026-03-06 09:31:10,1503870,YES,70679.97,215.2100000000064,217.23000000001048,Condition_1_15M_FLUC (215.21 > 0.8*Max(260.37) & > 95.0),1.0,0.8600,2.00
2026-03-06 09:52:08,1503883,YES,71280.59,112.58000000000175,147.08000000000175,Condition_2_15M_BREAK_UP (Cur:71280.59 > Max:71169.87 + 106.92),1.0,0.7700,2.00
2026-03-06 12:14:25,1504393,NO,70906.03,-176.75,182.77000000000407,Condition_2_15M_BREAK_DOWN (Cur:70906.03 < Min:70989.75 - 70.91),1.0,0.9990,2.00
2026-03-06 12:32:29,1504571,NO,70788.67,-80.91999999999825,90.19999999999709,Condition_2_15M_BREAK_DOWN (Cur:70788.67 < Min:70860.00 - 70.79),1.0,0.6800,2.00
2026-03-06 13:35:12,1504926,NO,70247.02,-154.61999999999534,230.75999999999476,Condition_2_15M_BREAK_DOWN (Cur:70247.02 < Min:70328.51 - 70.25),1.0,0.7500,2.00
2026-03-06 14:42:21,1505464,YES,70625.69,207.19000000000233,207.38999999999942,Condition_2_15M_BREAK_UP (Cur:70625.69 > Max:70515.12 + 105.94),1.0,0.9900,2.00
2026-03-06 14:48:11,1505479,YES,70800.02,133.63000000000466,182.13999999999942,Condition_2_15M_BREAK_UP (Cur:70800.02 > Max:70675.17 + 106.20),1.0,0.8000,2.00
2026-03-06 15:26:54,1505673,YES,70844.71,287.3000000000029,291.00999999999476,Condition_1_15M_FLUC (287.30 > 0.8*Max(341.60) & > 95.0),1.0,0.9990,2.00
2026-03-06 15:34:08,1505688,YES,71012.01,152.75,152.75,Condition_2_15M_BREAK_UP (Cur:71012.01 > Max:70886.60 + 106.52),1.0,0.8200,2.00
2026-03-06 16:56:21,1505897,NO,70762.07,-157.9699999999866,159.42999999999302,Condition_2_15M_BREAK_DOWN (Cur:70762.07 < Min:70833.61 - 70.76),1.0,0.9800,2.00
2026-03-06 17:09:37,1505948,NO,70643.98,-150.77999999999884,156.1600000000035,Condition_1_15M_FLUC (150.78 > 0.8*Max(184.39) & > 95.0),1.0,0.9400,2.00
2026-03-06 17:17:44,1506059,NO,70439.31,-137.97000000000116,141.86000000000058,Condition_2_15M_BREAK_DOWN (Cur:70439.31 < Min:70523.23 - 70.44),1.0,0.7500,2.00
