Time,MarketID,Side,BTC_Price,Net,Fluc,Reason,Multiplier,Prob,Amount
2026-03-05 01:13:00,1493172,YES,73658.0,308.3899999999994,308.3899999999994,Condition_2_15M_BREAK_UP (Cur:73658.00 > Max:73511.05 + 110.49),1.0,0.9900,2.00
2026-03-05 02:53:25,1494298,YES,73711.99,150.59000000001106,169.81999999999243,Condition_2_15M_BREAK_UP (Cur:73711.99 > Max:73594.00 + 110.57),1.0,0.8300,2.00
2026-03-05 03:05:32,1494320,YES,73865.43,131.41999999999825,249.7899999999936,Condition_2_15M_BREAK_UP (Cur:73865.43 > Max:73750.00 + 110.80),1.0,0.7400,2.00
2026-03-05 04:08:28,1494589,NO,73488.12,-173.52999999999884,181.64999999999418,Condition_2_15M_BREAK_DOWN (Cur:73488.12 < Min:73565.64 - 73.49),1.0,0.8800,2.00
2026-03-05 04:55:40,1494718,NO,73242.24,-298.4499999999971,302.9600000000064,Condition_2_15M_BREAK_DOWN (Cur:73242.24 < Min:73318.96 - 73.24),1.0,0.9900,2.00
2026-03-05 05:01:08,1494760,NO,72967.98,-102.02000000000407,126.01000000000931,Condition_2_15M_BREAK_DOWN (Cur:72967.98 < Min:73058.58 - 72.97),1.0,0.6400,2.00
2026-03-05 06:01:10,1495118,YES,73500.93,152.60999999998603,169.55999999999767,Condition_2_15M_BREAK_UP (Cur:73500.93 > Max:73385.95 + 110.25),1.0,0.7700,2.00
2026-03-05 06:35:22,1495177,NO,73137.02,-156.42999999999302,157.5500000000029,Condition_2_15M_BREAK_DOWN (Cur:73137.02 < Min:73210.51 - 73.14),1.0,0.8800,2.00
2026-03-05 06:45:43,1495798,NO,72757.42,-173.22000000000116,173.22999999999593,Condition_2_15M_BREAK_DOWN (Cur:72757.42 < Min:72899.00 - 72.76),1.0,0.7400,2.00
2026-03-05 07:20:39,1496058,NO,72566.35,-162.45999999999185,220.14999999999418,Condition_2_15M_BREAK_DOWN (Cur:72566.35 < Min:72639.00 - 72.57),1.0,0.8800,2.00
2026-03-05 07:32:54,1496076,NO,72393.84,-169.0899999999965,178.63999999999942,Condition_2_15M_BREAK_DOWN (Cur:72393.84 < Min:72466.81 - 72.39),1.0,0.8000,2.00
