Timestamp,Open,High,Low,Close
2026-03-01 13:30:00,66321.24,66390.67,66318.63,66362.52
2026-03-01 13:45:00,66362.52,67361.66,66354.78,66945.48
2026-03-01 14:00:00,66945.48,67323.99,66839.86,67080.81
2026-03-01 14:15:00,67080.81,67129.08,66758.69,66930.28
2026-03-01 14:30:00,66930.28,67057.94,66759.88,66847.4
2026-03-01 14:45:00,66847.4,66989.44,66778.79,66874.01
2026-03-01 15:00:00,66874.01,67125.06,66839.4,67124.93
2026-03-01 15:15:00,67124.93,67250.0,67001.29,67084.0
2026-03-01 15:30:00,67084.0,67245.52,67084.0,67224.33
2026-03-01 15:45:00,67224.33,67256.87,66818.79,66850.76
2026-03-01 16:00:00,66850.76,67031.74,66690.02,66947.33
2026-03-01 16:15:00,66947.33,67119.96,66814.01,67028.75
2026-03-01 16:30:00,67028.75,67066.49,66818.51,66832.64
2026-03-01 16:45:00,66832.64,66847.79,65820.0,66149.13
2026-03-01 17:00:00,66149.13,66231.64,65964.0,66115.96
2026-03-01 17:15:00,66115.96,66129.4,65726.13,66030.0
2026-03-01 17:30:00,66030.0,66138.78,65930.61,66012.06
2026-03-01 17:45:00,66012.06,66122.0,65930.62,65986.17
2026-03-01 18:00:00,65986.17,66599.75,65986.17,66392.36
2026-03-01 18:15:00,66392.36,66665.99,66363.33,66423.18
2026-03-01 18:30:00,66423.18,66459.0,66240.0,66378.56
2026-03-01 18:45:00,66378.56,66437.76,66248.69,66324.87
2026-03-01 19:00:00,66324.87,66353.99,66038.32,66073.84
2026-03-01 19:15:00,66073.84,66123.72,65950.0,66015.07
2026-03-01 19:30:00,66015.07,66118.0,65774.4,65825.52
2026-03-01 19:45:00,65825.52,66013.99,65801.99,65963.94
2026-03-01 20:00:00,65963.94,65972.27,65378.03,65464.84
2026-03-01 20:15:00,65464.84,65612.51,65313.41,65313.41
2026-03-01 20:30:00,65313.41,65371.69,65076.52,65249.01
2026-03-01 20:45:00,65249.01,65404.93,65181.69,65296.67
2026-03-01 21:00:00,65296.67,65534.0,65272.5,65514.77
2026-03-01 21:15:00,65514.77,65688.74,65473.93,65598.32
2026-03-01 21:30:00,65598.32,65705.51,65520.39,65672.96
2026-03-01 21:45:00,65672.96,65760.42,65577.97,65665.95
2026-03-01 22:00:00,65665.95,66486.24,65524.0,66014.63
2026-03-01 22:15:00,66014.63,66216.79,65763.62,65875.99
2026-03-01 22:30:00,65875.99,65956.16,65137.0,65389.66
2026-03-01 22:45:00,65389.66,65400.0,65008.38,65257.47
2026-03-01 23:00:00,65257.47,66100.0,65070.27,65808.49
2026-03-01 23:15:00,65808.49,65901.23,65609.97,65632.4
2026-03-01 23:30:00,65632.4,65870.51,65591.8,65751.69
2026-03-01 23:45:00,65751.69,65873.78,65653.05,65771.56
